,ts_code,symbol,name
476,002017.SZ,002017,东信和平
477,002018.SZ,002018,*ST华信
478,002019.SZ,002019,亿帆医药
479,002020.SZ,002020,京新药业
480,002021.SZ,002021,*ST中捷
481,002022.SZ,002022,科华生物
482,002023.SZ,002023,海特高新
483,002024.SZ,002024,苏宁易购
484,002025.SZ,002025,航天电器
485,002026.SZ,002026,山东威达
486,002027.SZ,002027,分众传媒
487,002028.SZ,002028,思源电气
488,002029.SZ,002029,七匹狼
489,002030.SZ,002030,达安基因
490,002031.SZ,002031,巨轮智能
491,002032.SZ,002032,苏泊尔
492,002033.SZ,002033,丽江旅游
493,002034.SZ,002034,旺能环境
494,002035.SZ,002035,华帝股份
495,002036.SZ,002036,联创电子
496,002037.SZ,002037,久联发展
497,002038.SZ,002038,双鹭药业
498,002039.SZ,002039,黔源电力
499,002040.SZ,002040,南京港
500,002041.SZ,002041,登海种业
501,002042.SZ,002042,华孚时尚
502,002043.SZ,002043,兔宝宝
503,002044.SZ,002044,美年健康
504,002045.SZ,002045,国光电器
505,002046.SZ,002046,轴研科技
506,002047.SZ,002047,宝鹰股份
507,002048.SZ,002048,宁波华翔
508,002049.SZ,002049,紫光国微
509,002050.SZ,002050,三花智控
510,002051.SZ,002051,中工国际
511,002052.SZ,002052,同洲电子
512,002053.SZ,002053,云南能投
513,002054.SZ,002054,德美化工
514,002055.SZ,002055,得润电子
515,002056.SZ,002056,横店东磁
516,002057.SZ,002057,中钢天源
517,002058.SZ,002058,威尔泰
518,002059.SZ,002059,云南旅游
519,002060.SZ,002060,粤水电
520,002061.SZ,002061,浙江交科
521,002062.SZ,002062,宏润建设
522,002063.SZ,002063,远光软件
523,002064.SZ,002064,华峰氨纶
524,002065.SZ,002065,东华软件
525,002066.SZ,002066,瑞泰科技
526,002067.SZ,002067,景兴纸业
527,002068.SZ,002068,黑猫股份
528,002069.SZ,002069,獐子岛
529,002071.SZ,002071,长城影视
530,002072.SZ,002072,*ST凯瑞
531,002073.SZ,002073,软控股份
532,002074.SZ,002074,国轩高科
533,002075.SZ,002075,沙钢股份
534,002076.SZ,002076,雪莱特
535,002077.SZ,002077,大港股份
536,002078.SZ,002078,太阳纸业
537,002079.SZ,002079,苏州固锝
538,002080.SZ,002080,中材科技
539,002081.SZ,002081,金螳螂
540,002082.SZ,002082,万邦德
541,002083.SZ,002083,孚日股份
542,002084.SZ,002084,海鸥住工
543,002085.SZ,002085,万丰奥威
544,002086.SZ,002086,ST东海洋
545,002087.SZ,002087,新野纺织
546,002088.SZ,002088,鲁阳节能
547,002089.SZ,002089,*ST新海
548,002090.SZ,002090,金智科技
549,002091.SZ,002091,江苏国泰
550,002092.SZ,002092,中泰化学
551,002093.SZ,002093,国脉科技
552,002094.SZ,002094,青岛金王
553,002095.SZ,002095,生意宝
554,002096.SZ,002096,南岭民爆
555,002097.SZ,002097,山河智能
556,002098.SZ,002098,浔兴股份
557,002099.SZ,002099,海翔药业
558,002100.SZ,002100,天康生物
559,002101.SZ,002101,广东鸿图
560,002102.SZ,002102,ST冠福
561,002103.SZ,002103,广博股份
562,002104.SZ,002104,恒宝股份
563,002105.SZ,002105,信隆健康
564,002106.SZ,002106,莱宝高科
565,002107.SZ,002107,沃华医药
566,002108.SZ,002108,沧州明珠
567,002109.SZ,002109,兴化股份
568,002110.SZ,002110,三钢闽光
569,002111.SZ,002111,威海广泰
570,002112.SZ,002112,三变科技
571,002113.SZ,002113,ST天润
572,002114.SZ,002114,罗平锌电
573,002115.SZ,002115,三维通信
574,002116.SZ,002116,中国海诚
575,002117.SZ,002117,东港股份
576,002118.SZ,002118,紫鑫药业
577,002119.SZ,002119,康强电子
578,002120.SZ,002120,韵达股份
579,002121.SZ,002121,科陆电子
580,002122.SZ,002122,*ST天马
581,002123.SZ,002123,梦网集团
582,002124.SZ,002124,天邦股份
583,002125.SZ,002125,湘潭电化
584,002126.SZ,002126,银轮股份
585,002127.SZ,002127,南极电商
586,002128.SZ,002128,露天煤业
587,002129.SZ,002129,中环股份
588,002130.SZ,002130,沃尔核材
589,002131.SZ,002131,利欧股份
590,002132.SZ,002132,恒星科技
591,002133.SZ,002133,广宇集团
592,002134.SZ,002134,天津普林
593,002135.SZ,002135,东南网架
594,002136.SZ,002136,安纳达
595,002137.SZ,002137,麦达数字
596,002138.SZ,002138,顺络电子
597,002139.SZ,002139,拓邦股份
598,002140.SZ,002140,东华科技
599,002141.SZ,002141,贤丰控股
600,002142.SZ,002142,宁波银行
601,002143.SZ,002143,*ST印纪
602,002144.SZ,002144,宏达高科
603,002145.SZ,002145,中核钛白
604,002146.SZ,002146,荣盛发展
605,002147.SZ,002147,ST新光
606,002148.SZ,002148,北纬科技
607,002149.SZ,002149,西部材料
608,002150.SZ,002150,通润装备
609,002151.SZ,002151,北斗星通
610,002152.SZ,002152,广电运通
611,002153.SZ,002153,石基信息
612,002154.SZ,002154,报喜鸟
613,002155.SZ,002155,湖南黄金
614,002156.SZ,002156,通富微电
615,002157.SZ,002157,正邦科技
616,002158.SZ,002158,汉钟精机
617,002159.SZ,002159,三特索道
618,002160.SZ,002160,常铝股份
619,002161.SZ,002161,远望谷
620,002162.SZ,002162,悦心健康
621,002163.SZ,002163,中航三鑫
622,002164.SZ,002164,宁波东力
623,002165.SZ,002165,红宝丽
624,002166.SZ,002166,莱茵生物
625,002167.SZ,002167,东方锆业
626,002168.SZ,002168,惠程科技
627,002169.SZ,002169,智光电气
628,002170.SZ,002170,芭田股份
629,002171.SZ,002171,楚江新材
630,002172.SZ,002172,澳洋健康
631,002173.SZ,002173,创新医疗
632,002174.SZ,002174,游族网络
633,002175.SZ,002175,*ST东网
634,002176.SZ,002176,江特电机
635,002177.SZ,002177,御银股份
636,002178.SZ,002178,延华智能
637,002179.SZ,002179,中航光电
638,002180.SZ,002180,纳思达
639,002181.SZ,002181,粤传媒
640,002182.SZ,002182,云海金属
641,002183.SZ,002183,怡亚通
642,002184.SZ,002184,海得控制
643,002185.SZ,002185,华天科技
644,002186.SZ,002186,全聚德
645,002187.SZ,002187,广百股份
646,002188.SZ,002188,*ST巴士
647,002189.SZ,002189,利达光电
648,002190.SZ,002190,*ST集成
649,002191.SZ,002191,劲嘉股份
650,002192.SZ,002192,融捷股份
651,002193.SZ,002193,如意集团
652,002194.SZ,002194,*ST凡谷
653,002195.SZ,002195,二三四五
654,002196.SZ,002196,方正电机
655,002197.SZ,002197,证通电子
656,002198.SZ,002198,嘉应制药
657,002199.SZ,002199,东晶电子
658,002200.SZ,002200,*ST云投
659,002201.SZ,002201,九鼎新材
660,002202.SZ,002202,金风科技
661,002203.SZ,002203,海亮股份
662,002204.SZ,002204,大连重工
663,002205.SZ,002205,国统股份
664,002206.SZ,002206,海利得
665,002207.SZ,002207,ST准油
666,002208.SZ,002208,合肥城建
667,002209.SZ,002209,达意隆
668,002210.SZ,002210,*ST飞马
669,002211.SZ,002211,宏达新材
670,002212.SZ,002212,南洋股份
671,002213.SZ,002213,特尔佳
672,002214.SZ,002214,大立科技
673,002215.SZ,002215,诺普信
674,002216.SZ,002216,三全食品
675,002217.SZ,002217,合力泰
676,002218.SZ,002218,拓日新能
677,002219.SZ,002219,恒康医疗
678,002220.SZ,002220,天宝食品
679,002221.SZ,002221,东华能源
680,002222.SZ,002222,福晶科技
681,002223.SZ,002223,鱼跃医疗
682,002224.SZ,002224,三力士
683,002225.SZ,002225,濮耐股份
684,002226.SZ,002226,江南化工
685,002227.SZ,002227,奥特迅
686,002228.SZ,002228,合兴包装
687,002229.SZ,002229,鸿博股份
688,002230.SZ,002230,科大讯飞
689,002231.SZ,002231,奥维通信
690,002232.SZ,002232,启明信息
691,002233.SZ,002233,塔牌集团
692,002234.SZ,002234,民和股份
693,002235.SZ,002235,安妮股份
694,002236.SZ,002236,大华股份
695,002237.SZ,002237,恒邦股份
696,002238.SZ,002238,天威视讯
